matchtime,goes_class_ind,noaa_ar,goes_class,C,M,X,C+,M+,X+,ar_noaanum,LOCATION,Carrington_long,AREA,Z,Longitude_extent,No_sunspots,MAGTYPE,AR issue_date,Latitude,Longitude
0,1996-08-25 00:30,C,7986,C1.0,1,0,0,1,0,0,7986.0,S12E64,258.0,90.0,HSX,2.0,1.0,ALPHA,1996-08-25 00:30,-12.0,-64.0
1,1996-11-24 00:30,C,7999,C2.8,1,0,0,1,0,0,7999.0,S04E33,169.0,170.0,DAO,8.0,21.0,BETA,1996-11-24 00:30,-4.0,-33.0
2,1996-11-24 00:30,C,7999,C1.3,1,0,0,1,0,0,7999.0,S04E33,169.0,170.0,DAO,8.0,21.0,BETA,1996-11-24 00:30,-4.0,-33.0
3,1996-11-24 00:30,C,7999,C1.8,1,0,0,1,0,0,7999.0,S04E33,169.0,170.0,DAO,8.0,21.0,BETA,1996-11-24 00:30,-4.0,-33.0
4,1996-11-24 00:30,C,7999,C1.0,1,0,0,1,0,0,7999.0,S04E33,169.0,170.0,DAO,8.0,21.0,BETA,1996-11-24 00:30,-4.0,-33.0
5,1996-11-25 00:30,C,7999,C8.0,1,0,0,1,0,0,,,,,,,,,,,
6,1996-11-25 00:30,C,7999,C1.2,1,0,0,1,0,0,,,,,,,,,,,
7,1996-11-25 00:30,C,7997,C1.8,1,0,0,1,0,0,,,,,,,,,,,
8,1996-11-25 00:30,C,7999,C4.6,1,0,0,1,0,0,,,,,,,,,,,
9,1996-11-25 00:30,C,7999,C5.8,1,0,0,1,0,0,,,,,,,,,,,
10,1996-11-26 00:30,C,7999,C1.6,1,0,0,1,0,0,7999.0,S04E06,169.0,880.0,EKC,12.0,41.0,BETA,1996-11-26 00:30,-4.0,-6.0
11,1996-11-28 00:30,C,7999,C1.1,1,0,0,1,0,0,7999.0,S05W22,171.0,830.0,EKI,11.0,38.0,BETA,1996-11-28 00:30,-5.0,22.0
12,1996-11-29 00:30,M,7999,M1.0,0,1,0,1,1,0,7999.0,S05W35,171.0,690.0,EKI,12.0,30.0,BETA,1996-11-29 00:30,-5.0,35.0
13,1996-11-30 00:30,C,7999,C1.0,1,0,0,1,0,0,7999.0,S04W48,171.0,580.0,EKI,12.0,28.0,BETA,1996-11-30 00:30,-4.0,48.0
14,1996-11-30 00:30,C,7999,C8.6,1,0,0,1,0,0,7999.0,S04W48,171.0,580.0,EKI,12.0,28.0,BETA,1996-11-30 00:30,-4.0,48.0
15,1996-12-01 00:30,C,7999,C1.6,1,0,0,1,0,0,7999.0,S04W61,170.0,570.0,EKI,12.0,20.0,BETA,1996-12-01 00:30,-4.0,61.0
16,1996-12-01 00:30,C,7999,C5.2,1,0,0,1,0,0,7999.0,S04W61,170.0,570.0,EKI,12.0,20.0,BETA,1996-12-01 00:30,-4.0,61.0
17,1996-12-02 00:30,C,7999,C2.7,1,0,0,1,0,0,7999.0,S03W75,171.0,450.0,EKI,11.0,13.0,BETA,1996-12-02 00:30,-3.0,75.0
18,1996-12-02 00:30,C,7999,C1.6,1,0,0,1,0,0,7999.0,S03W75,171.0,450.0,EKI,11.0,13.0,BETA,1996-12-02 00:30,-3.0,75.0
19,1996-12-02 00:30,C,7999,C1.2,1,0,0,1,0,0,7999.0,S03W75,171.0,450.0,EKI,11.0,13.0,BETA,1996-12-02 00:30,-3.0,75.0
20,1996-12-19 00:30,C,8005,C2.3,1,0,0,1,0,0,,,,,,,,,,,
21,1997-02-04 00:30,C,8016,C1.8,1,0,0,1,0,0,8016.0,S21E09,324.0,60.0,DAI,7.0,11.0,BETA,1997-02-04 00:30,-21.0,-9.0
22,1997-02-19 00:30,C,8018,C3.9,1,0,0,1,0,0,8018.0,N10W60,195.0,20.0,BXO,5.0,3.0,BETA,1997-02-19 00:30,10.0,60.0
23,1997-04-01 00:30,C,8026,C2.2,1,0,0,1,0,0,8026.0,S24E20,294.0,90.0,DAO,10.0,12.0,BETA,1997-04-01 00:30,-24.0,-20.0
24,1997-04-02 00:30,C,8026,C2.2,1,0,0,1,0,0,8026.0,S25E07,294.0,70.0,CAO,10.0,13.0,BETA,1997-04-02 00:30,-25.0,-7.0
25,1997-04-02 00:30,C,8026,C1.3,1,0,0,1,0,0,8026.0,S25E07,294.0,70.0,CAO,10.0,13.0,BETA,1997-04-02 00:30,-25.0,-7.0
26,1997-04-07 00:30,C,8027,C6.8,1,0,0,1,0,0,8027.0,S28E24,211.0,50.0,CAO,4.0,7.0,BETA,1997-04-07 00:30,-28.0,-24.0
27,1997-04-15 00:30,C,8032,C1.0,1,0,0,1,0,0,8032.0,S23E20,110.0,10.0,CRO,4.0,2.0,BETA,1997-04-15 00:30,-23.0,-20.0
28,1997-05-12 00:30,C,8038,C1.3,1,0,0,1,0,0,8038.0,N21W06,139.0,80.0,HSX,2.0,2.0,ALPHA,1997-05-12 00:30,21.0,6.0
29,1997-05-21 00:30,C,8040,C2.7,1,0,0,1,0,0,8040.0,N05E00,14.0,90.0,DAO,9.0,15.0,BETA,1997-05-21 00:30,5.0,0.0
